primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr,Bonferroni.Padj
CXCL5,1.1945522676996198e-75,5.916387567924,6.2632507373370006,5.56952439851099,3.438793639206389e-73,2.1664399927000307e-71
CRIP2,9.519029010287147e-75,1.75545529303858,1.9073933327164299,1.60351725336073,2.6974548457901197e-72,1.726371101305677e-70
GDI2,2.8054634751163297e-74,0.8295309082489449,0.901772475455253,0.757289341042638,7.827674705339958e-72,5.087988558470975e-70
IRGM1,4.997477771169869e-74,2.43996492807648,2.6503146679622005,2.22961518819075,1.3732463160293397e-71,9.063425685793675e-70
RNF213,2.2945890376815995e-73,2.3426437422502797,2.55683937293391,2.12844811156665,6.211144296625889e-71,4.161466678739349e-69
RBPMS,3.3927688527416495e-73,2.66103705874202,2.79318604259881,2.52888807488522,9.048714104900368e-71,6.153125591332255e-69
SPRR2F,7.915864182421389e-73,-2.92074250955583,-2.7288980829638203,-3.11258693614784,2.08061033061441e-70,1.435621128123943e-68
PSCA,2.1288704140999898e-72,-4.714565575750769,-4.36154784916583,-5.0675833023357,5.515599118588209e-70,3.860919383011742e-68
KRT8,4.207381847338109e-72,4.8101513605085895,5.13965608604873,4.48064663496845,1.0747193969482197e-69,7.630507718332395e-68
PARP14,6.12581035468936e-72,2.47567799710527,2.6874081205282003,2.26394787368233,1.5430235637867496e-69,1.1109769659264623e-67
DHX58,2.54830519413245e-71,2.47744246524931,2.5997529425378,2.35513198796082,6.330967534354268e-69,4.621606300078611e-67
MT4,6.404402901617529e-71,-4.02997012256908,-3.7078235062472498,-4.35211673889091,1.5695979868072397e-68,1.161502510237355e-66
KRT18,6.5428349681443085e-71,3.52009264603063,3.8363313575060696,3.20385393455518,1.5821447330968699e-68,1.1866085498226518e-66
CP,7.074894398652198e-71,4.87226562501107,5.105464662791901,4.63906658723024,1.6882932212362698e-68,1.2831028481395627e-66
ALYREF,1.3668337418280196e-69,-2.4075816184398398,-2.18853286155441,-2.62663037532527,3.2193372391938896e-67,2.4788896741792964e-65
UPK3BL,1.6193039136284396e-69,-3.28534655173158,-2.99512594738265,-3.57556715608052,3.765089202251959e-67,2.936769577756538e-65
DDX60,2.2007284692266098e-69,2.86476747575833,3.0051442903543597,2.7243906611622997,5.0522039896068095e-67,3.99124115178938e-65
PGLYRP1,2.5356107400950995e-69,3.23896400700748,3.5394046969876003,2.93852331702735,5.748229547795578e-67,4.598583638236473e-65
LCN2,9.312768240336568e-69,4.96723267377426,5.30634869786782,4.628116649680701,2.0851403062560997e-66,1.68896364806744e-64
CLDN7,2.6312305189698496e-68,3.1224331748191805,3.41317645467468,2.83168989496368,5.819511791711859e-66,4.7719996692037196e-64
TMEM176A,3.037758194629039e-67,2.5638328656834903,2.80549197685395,2.3221737545130403,6.637684652746058e-65,5.509278261779225e-63
