primerid,Pr(>Chisq),coef,ci.hi,ci.lo,fdr,Bonferroni.Padj
IRF9,8.404765306153048e-84,1.8425713891526498,2.00397936525165,1.68116341305366,5.443886556871128e-81,1.5242882359239168e-79
IFI44,5.394832240798968e-82,4.07088422325847,4.34145533612017,3.8003131103967704,3.3738164661768996e-79,9.78406775191301e-78
APOL9A,1.1045842791135e-81,3.69801597799972,3.98394706784945,3.41208488814998,6.677580162000829e-79,2.0032740486002436e-77
TNIP3,5.662848571959899e-81,3.8446711118661803,4.17562854582451,3.51371367790785,3.3129490871311193e-78,1.0270142170106474e-76
TMEM9,1.6838011227918596e-79,2.4580976610545497,2.69526620917377,2.22092911293533,9.542942863422856e-77,3.0537417162953164e-75
ARPC1B,3.3804901586222e-79,1.77729885171522,1.9235367026018402,1.6310610008286002,1.8031932210815297e-76,6.130856951677221e-75
KCNN4,3.3451322239905393e-79,3.12972781209247,3.43394100951877,2.82551461466617,1.8031932210815297e-76,6.066731801429242e-75
PAICS,2.44277375043735e-78,2.3907545677189197,2.61100931901737,2.17049981642047,1.2657755639409096e-75,4.430214473793178e-74
GM10076,5.65489098673446e-76,-1.79994327440402,-1.64717819980659,-1.9527083490014499,2.848808414872669e-73,1.0255710293541615e-71
PRDX4,4.927392441233239e-75,2.93377534611787,3.22891412690588,2.63863656532985,2.4152213328163794e-72,8.936318931420602e-71
APOL9B,8.259993589578629e-75,4.05563410617051,4.27760311601745,3.83366509632357,3.9421906247525793e-72,1.4980324374059802e-70
OAS3,4.6994494214347596e-74,3.8723066401552404,4.10617422116394,3.63843905914654,2.1853644796702795e-71,8.52292147071408e-70
RNF213,7.530011953003959e-74,3.2605815541436804,3.5633268594224305,2.95783624886492,3.4141074194919997e-71,1.365642967796798e-69
BEX3,4.375334422171799e-73,2.2853069949247002,2.48759959110152,2.08301439874787,1.9353918312318998e-70,7.935106508050775e-69
TMEM176B,6.463392389998759e-73,4.47319838371684,4.88350267010809,4.062894097325589,2.7909543901194595e-70,1.1722008438501749e-68
SELENOW,1.8373191286072795e-72,1.7926841606985,1.9500814653896898,1.6352868560073102,7.749213887539888e-70,3.332161971642162e-68
CALM2,1.9010367964988198e-72,2.10736026308143,2.29238261858738,1.9223379075754699,7.835728032114209e-70,3.4477203341302596e-68
USP18,2.8646271246358497e-72,3.2894109857728,3.60873016421888,2.97009180732672,1.1545083896087897e-69,5.195287753239577e-68
KRT18,3.9231814061178793e-72,3.32636234086455,3.6637023153801,2.98902236634899,1.54675691263813e-69,7.115081798135386e-68
NFIB,7.801556082009388e-72,2.27904897842444,2.48058373281283,2.07751422403604,2.9476879396525495e-69,1.4148902110332226e-67
TAPBP,7.685753742481329e-72,2.0631907390638102,2.24541269701293,1.88096878111469,2.9476879396525495e-69,1.3938882987364138e-67
EIF2AK2,9.374562648667018e-72,1.9719886954272499,2.1609607925416,1.7830165983128998,3.469736085637249e-69,1.7001706819622505e-67
FERMT1,1.4316284329940296e-71,2.45024323337237,2.6897889757516005,2.21069749099314,5.192802652155929e-69,2.5964013260779722e-67
LGALS9,4.628837044025279e-71,4.62500395625571,4.9054378734407695,4.34457003907065,1.6460507574596596e-68,8.394858863044246e-67
TSC22D1,8.612881792083288e-71,2.37153939838445,2.58321142505576,2.15986737171314,3.0039081573311997e-68,1.562032241812225e-66
DDX58,1.2082411357168e-70,2.17768193063748,2.3796618875286497,1.9757019737463,4.134464384407539e-68,2.1912661237359884e-66
PPIC,1.2642351895585197e-70,2.4603439601662798,2.73095181396356,2.189736106369,4.245957295895049e-68,2.2928169397833314e-66
CSRP1,2.1268119206789695e-70,1.7437427321459198,1.90001200011325,1.5874734641785901,7.013065635169789e-68,3.857186099343379e-66
PHF11D,1.1042646847767998e-69,3.75555962083655,4.03342769520276,3.4776915464703304,3.576240057698589e-67,2.002694432311204e-65
MCM6,2.2831151575194496e-68,2.7535701860643798,3.00883491396175,2.498305458167,7.139064913236688e-66,4.1406576496772735e-64
SP100,2.2735662864609595e-68,3.8225339647232204,4.01292195554912,3.63214597389731,7.139064913236688e-66,4.1233398171255963e-64
IFITM1,9.050438856473279e-68,5.8443017920506595,6.3444365486519505,5.3441670354493604,2.78201286611863e-65,1.6413875910099938e-63
TMEM176A,1.1795536854919397e-67,4.418465352179401,4.8360361668595395,4.00089453749925,3.5653976066803095e-65,2.139238564008182e-63
IGFBP7,1.2427425592967098e-66,3.5531458657927595,3.8847004211723704,3.2215913104131504,3.6948162385910096e-64,2.253837905540513e-62
FKBP1A,8.146627510334749e-66,1.9645024159381002,2.14923222737879,1.77977260449741,2.3830199439908195e-63,1.47747236527431e-61
